,Inflation_Rank,Title,Adj. Domestic Lifetime Gross,Domestic Lifetime Gross,Est. Num Tickets,Year,Worldwide_Rank,Worldwide Lifetime Gross, Domestic % ,Foreign Lifetime Gross, Foreign % 
118,109,The Hunger Games,"$476,589,121 ","$408,010,692 ","50,863,300",2012,132,"$694,394,724",0.59,"$286,384,032",0.41
119,110,Pirates Of The Caribbean The Curse Of The Black Pearl,"$474,580,193 ","$305,413,918 ","50,648,900",2003,145,"$654,264,015",0.47,"$348,850,097",0.53
120,111,House Of Wax,"$473,483,903 ","$23,750,000 ","50,531,900",1953,0,$nan,,$nan,
121,112,Rear Window,"$471,823,539 ","$36,764,313 ","50,354,700",1954,0,$nan,,$nan,
122,113,The Lost World Jurassic Park,"$467,656,700 ","$229,086,679 ","49,910,000",1997,161,"$618,638,999",0.37,"$389,552,320",0.63
123,114,Monsters Inc,"$463,113,187 ","$290,642,256 ","49,425,100",2001,177,"$579,707,738",0.5,"$289,065,482",0.5
124,115,Indiana Jones And The Last Crusade,"$463,032,605 ","$197,171,806 ","49,416,500",1989,242,"$474,171,806",0.42,"$277,000,000",0.58
125,116,Frozen,"$459,728,743 ","$400,953,009 ","49,063,900",2013,17,"$1,281,508,100",0.31,"$880,555,091",0.69
126,117,SpiderMan 3,"$458,326,991 ","$336,530,303 ","48,914,300",2007,66,"$894,983,373",0.38,"$558,453,070",0.62
127,118,Iron Man 3,"$457,717,941 ","$409,013,994 ","48,849,300",2013,21,"$1,214,811,252",0.34,"$805,797,258",0.66
128,119,Terminator 2 Judgment Day,"$456,999,262 ","$205,881,154 ","48,772,600",1991,214,"$520,881,154",0.4,"$315,000,000",0.6
129,120,Harry Potter And The Deathly Hallows Part 2,"$451,701,464 ","$381,447,587 ","48,207,200",2011,14,"$1,342,321,665",0.28,"$960,912,355",0.72
130,121,Toy Story 4,"$451,340,719 ","$434,038,008 ","48,168,700",2019,35,"$1,073,394,593",0.4,"$639,356,585",0.6
131,122,How The Grinch Stole Christmas,"$451,054,934 ","$260,715,005 ","48,138,200",2000,423,"$345,573,032",0.75,"$85,108,027",0.25
132,123,Sergeant York,"$450,914,384 ","$16,361,885 ","48,123,200",1941,0,$nan,,$nan,
133,124,Top Gun,"$450,043,911 ","$180,258,178 ","48,030,300",1986,392,"$357,288,178",0.5,"$177,030,000",0.5
134,125,Toy Story,"$449,576,348 ","$223,225,679 ","47,980,400",1995,326,"$394,436,586",0.57,"$171,210,907",0.43
135,126,Toy Story 2,"$448,228,005 ","$245,852,179 ","47,836,500",1999,222,"$497,375,381",0.49,"$251,523,202",0.51
136,127,Captain Marvel,"$443,884,073 ","$426,829,839 ","47,372,900",2019,27,"$1,128,462,972",0.38,"$701,633,133",0.62
