Title,Year,Inflation_Rank,Adj. Domestic Lifetime Gross,Est. Num Tickets,Worldwide Rank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Production Budget
Toy Story 4,2019,121,"$451,340,719 ","48,168,700",35,"$1,073,394,593","$434,038,008 ",40.0,"$639,356,585",60.0,$nan
How The Grinch Stole Christmas,2000,122,"$451,054,934 ","48,138,200",423,"$345,573,032","$260,715,005 ",75.0,"$85,108,027",25.0,$nan
Sergeant York,1941,123,"$450,914,384 ","48,123,200",,,"$16,361,885 ",,,,$nan
Top Gun,1986,124,"$450,043,911 ","48,030,300",392,"$357,288,178","$180,258,178 ",50.0,"$177,030,000",50.0,"$15,000,000"
Toy Story,1995,125,"$449,576,348 ","47,980,400",326,"$394,436,586","$223,225,679 ",56.99999999999999,"$171,210,907",43.0,"$30,000,000"
Toy Story 2,1999,126,"$448,228,005 ","47,836,500",222,"$497,375,381","$245,852,179 ",49.0,"$251,523,202",51.0,"$90,000,000"
Captain Marvel,2019,127,"$443,884,073 ","47,372,900",27,"$1,128,462,972","$426,829,839 ",38.0,"$701,633,133",62.0,$nan
Shrek,2001,128,"$443,112,922 ","47,290,600",229,"$487,853,320","$268,163,011 ",55.00000000000001,"$220,188,309",45.0,"$50,000,000"
Shrek The Third,2007,129,"$439,518,590 ","46,907,000",89,"$813,367,380","$322,719,944 ",40.0,"$490,647,436",60.0,$nan
Despicable Me 2,2013,130,"$439,397,717 ","46,894,100",51,"$970,766,005","$368,065,385 ",38.0,"$602,700,620",62.0,$nan
Captain America Civil War,2016,131,"$438,096,224 ","46,755,200",23,"$1,153,337,496","$408,084,349 ",35.0,"$745,253,147",65.0,$nan
The Matrix Reloaded,2003,132,"$437,540,583 ","46,695,900",116,"$741,847,937","$281,576,461 ",38.0,"$460,271,476",62.0,"$127,000,000"
Transformers,2007,133,"$434,787,677 ","46,402,100",125,"$709,709,780","$319,246,193 ",45.0,"$390,463,587",55.00000000000001,"$151,000,000"
Crocodile Dundee,1986,134,"$432,917,425 ","46,202,500",452,"$328,203,506","$174,803,506 ",53.0,"$153,400,000",47.0,"$5,000,000"
Wonder Woman,2017,135,"$432,354,288 ","46,142,400",85,"$822,824,522","$412,845,172 ",50.0,"$410,009,114",50.0,$nan
